w_skill,w_experience,w_education,recall@5,recall@10,recall@15,ndcg@5,ndcg@10,ndcg@15,spearman,mae_0_to_3
0.3,0.2,0.5,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,0.9148208258544209
0.3,0.1,0.6,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,0.9539669261000812
0.2,0.2,0.6,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,1.023847245175294
0.2,0.1,0.7,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,1.069056385454975
0.1,0.1,0.8,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8105814675307701,0.709701568205407,1.1841458448098692
0.0,0.8,0.2,0.6,1.0,1.0,0.6333513308383866,0.8047698185206944,0.8047698185206944,0.6652061720796761,1.0360402726766862
0.0,0.7,0.3,0.6,1.0,1.0,0.6333513308383866,0.8047698185206944,0.8047698185206944,0.6652061720796761,1.0468130163698781
0.0,0.6,0.4,0.6,1.0,1.0,0.6333513308383866,0.8047698185206944,0.8047698185206944,0.6652061720796761,1.073189602766357
0.0,0.5,0.5,0.6,1.0,1.0,0.6333513308383866,0.8047698185206944,0.8047698185206944,0.6652061720796761,1.1183987430460383
0.0,0.4,0.6,0.6,1.0,1.0,0.6333513308383866,0.8047698185206944,0.8047698185206944,0.6652061720796761,1.1636078833257195
0.0,0.3,0.7,0.6,1.0,1.0,0.6333513308383866,0.8047698185206944,0.8047698185206944,0.6652061720796761,1.2088170236054008
0.0,0.2,0.8,0.6,1.0,1.0,0.6333513308383866,0.8047698185206944,0.8047698185206944,0.6652061720796761,1.254026163885082
0.0,0.1,0.9,0.6,1.0,1.0,0.6333513308383866,0.8047698185206944,0.8047698185206944,0.6652061720796761,1.2992353041647633
0.9,0.0,0.1,0.8,1.0,1.0,0.6556707338870036,0.8018609453668054,0.8176119174585007,0.7411855845191515,0.7156660121783974
0.8,0.0,0.2,0.6,1.0,1.0,0.6081805076554174,0.7943840492039597,0.7943840492039597,0.6612096323901854,0.7163944799610447
0.7,0.0,0.3,0.6,1.0,1.0,0.6081805076554174,0.7943840492039597,0.7943840492039597,0.6612096323901854,0.7324717064117908
0.6,0.0,0.4,0.6,1.0,1.0,0.6081805076554174,0.7943840492039597,0.7943840492039597,0.6612096323901854,0.7645812373213797
0.5,0.0,0.5,0.6,1.0,1.0,0.6081805076554174,0.7943840492039597,0.7943840492039597,0.6612096323901854,0.8171620486021358
0.4,0.0,0.6,0.6,1.0,1.0,0.6081805076554174,0.7943840492039597,0.7943840492039597,0.6612096323901854,0.8843496143792575
0.3,0.0,0.7,0.6,1.0,1.0,0.6081805076554174,0.7943840492039597,0.7943840492039597,0.6612096323901854,0.9991760663797624
0.2,0.0,0.8,0.6,1.0,1.0,0.6081805076554174,0.7943840492039597,0.7943840492039597,0.6612096323901854,1.1142655257346563
0.1,0.0,0.9,0.6,1.0,1.0,0.6081805076554174,0.7943840492039597,0.7943840492039597,0.6612096323901854,1.2293549850895504
1.0,0.0,0.0,0.6,1.0,1.0,0.5917973664126421,0.7864309985255398,0.8031590789750409,0.7642971698740139,0.7149375443957503
0.0,1.0,0.0,0.6,0.8,1.0,0.6681964713107739,0.690669240365442,0.7566044538056407,0.6396213193073808,1.0274898617065715
0.0,0.0,1.0,0.6,0.8,1.0,0.5741043979319709,0.6104703189203945,0.7321450963307848,0.4670403356568722,1.3444444444444443
